model,mae_bbl,bias_bbl,wape,wape_percent
linear_regression_fixed_origin,1025.6455098167764,-261.85487933515515,0.28601528343449506,28.601528343449505
random_forest_fixed_origin,1127.2549739813298,334.8658511979472,0.3143504727513611,31.435047275136107
naive_fixed_origin,1260.8333333333333,157.95185185185184,0.3516006258940421,35.16006258940421
trailing_3mo_fixed_origin,1278.3765432098764,697.0185185185185,0.35649278999671213,35.64927899967121
trailing_6mo_fixed_origin,1437.9141975308644,1022.0574074074074,0.4009820477201173,40.098204772011734
