model,mae_bbl,bias_bbl,wape,wape_percent
naive_last_observed,699.3333333333334,91.5111111111111,0.19501866837427637,19.501866837427638
linear_regression,766.6088587856207,-362.73713307346355,0.21377936911958356,21.377936911958358
trailing_3mo_average,847.6913580246915,267.441975308642,0.23639033341423824,23.639033341423822
random_forest,943.2524458817425,28.091354975096774,0.26303885024304563,26.303885024304563
trailing_6mo_average,969.196913580247,516.5339506172841,0.2702738200365277,27.02738200365277
