api8,lease_name,well_no,field_name,month_on_production,linear_regression_ml_forecast_oil_bbl,naive_last_rate_forecast_oil_bbl,trailing_3mo_forecast_oil_bbl,trailing_6mo_forecast_oil_bbl
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),72,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),73,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),74,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),75,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),76,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),77,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),78,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),79,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),80,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),81,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),82,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),83,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),84,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),85,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),86,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),87,0.0,0.0,0.0,0.0
