api8,lease_name,well_no,model,forecast_cumulative_oil_bbl,historical_cumulative_oil_bbl,eur_style_oil_bbl,first_month_below_threshold,reaches_low_rate_threshold_by_month_120
31744063,EPLEY-MARTIN 31H,108H,hyperbolic,301771.50313028257,217058.0,518829.50313028257,,False
31744069,DAVIS-LACY 31D,204H,hyperbolic,319734.27066530136,179088.0,498822.27066530136,,False
31744407,DAVIS-LACY 31L,212H,hyperbolic,98568.30729982084,376732.0,475300.3072998208,,False
31744061,EPLEY-MARTIN 31C,103H,hyperbolic,52220.57225222755,420319.0,472539.5722522276,,False
31744072,DAVIS-LACY 31A,201H,hyperbolic,167438.7350131838,301751.0,469189.7350131838,,False
31743818,SCHARBAUER-DOVE 7F,6H,hyperbolic,156561.61026160303,280152.0,436713.610261603,,False
31744064,EPLEY-MARTIN 31I,109H,hyperbolic,30402.425448351587,400302.0,430704.4254483516,,False
31744068,DAVIS-LACY 31E,205H,hyperbolic,57407.76080173317,353189.0,410596.7608017332,,False
31744066,EPLEY-MARTIN 31K,111H,hyperbolic,22517.16030362032,344225.0,366742.16030362033,103.0,True
31744071,DAVIS-LACY 31B,202H,hyperbolic,73050.6205181948,283432.0,356482.6205181948,,False
31743759,GLYNN-ATCHISON 44L,212H,hyperbolic,133050.90569143594,218605.0,351655.9056914359,,False
31743171,BOHANAN-BLOCKER 3B,4H,hyperbolic,21494.995986217666,326038.0,347532.9959862177,104.0,True
31744067,DAVIS-LACY 31F,206H,hyperbolic,22002.47539597658,312514.0,334516.47539597657,,False
31744053,EPLEY-MARTIN 31D,104H,hyperbolic,36999.877120979996,289424.0,326423.87712098,,False
31744060,EPLEY-MARTIN 31G,107H,hyperbolic,113817.56440178705,211245.0,325062.56440178707,,False
31743755,GLYNN-ATCHISON 44N,214H,hyperbolic,36144.997943819304,285178.0,321322.9979438193,,False
31743549,WELCH-COX E39V,322H,hyperbolic,10704.636779991259,305865.0,316569.63677999127,86.0,True
31744059,DAVIS-LACY 31G,207H,hyperbolic,59878.87916116787,250609.0,310487.8791611679,,False
31744782,FORTUNE-ASHLEY 31M,213H,hyperbolic,45762.67788276448,249941.0,295703.6778827645,,False
31744055,DAVIS-LACY 31K,211H,hyperbolic,13550.009256832664,262086.0,275636.00925683265,106.0,True
31743757,GLYNN-ATCHISON 44M,213H,hyperbolic,97830.89283692703,168346.0,266176.892836927,,False
31744056,DAVIS-LACY 31J,210H,hyperbolic,9039.638996308307,243014.0,252053.63899630832,84.0,True
31744052,EPLEY-MARTIN 31F,106H,hyperbolic,31367.432803751133,216548.0,247915.43280375114,,False
31744070,DAVIS-LACY 31C,203H,hyperbolic,5965.282319026875,238267.0,244232.28231902688,78.0,True
31744058,DAVIS-LACY 31H,208H,hyperbolic,6149.608385203062,145934.0,152083.60838520306,76.0,True
31743566,WELCH-COX E39A,301H,hyperbolic,8051.097546446005,132224.0,140275.097546446,91.0,True
