model,wells,mean_absolute_percent_error,median_absolute_percent_error,mean_percent_error,median_percent_error
exponential,30,50.27717482829428,31.85716338595368,4.691978879669254,-23.806412528391128
hyperbolic,30,35.0386830572415,27.69418217495728,-6.608255453338441,-20.716348249408
harmonic,30,33.0065474488915,15.097784253298997,19.46456039528069,7.045699633054983
