api8,lease_name,well_no,actual_test_oil_bbl,exponential_forecast_test_oil_bbl,hyperbolic_forecast_test_oil_bbl,harmonic_forecast_test_oil_bbl
31744055,DAVIS-LACY 31K,211H,49251.0,14020.293239232133,15287.788776497157,30401.491025503616
31744070,DAVIS-LACY 31C,203H,22233.0,8156.221462008486,8509.39676958153,17139.533536298124
31743755,GLYNN-ATCHISON 44N,214H,46559.0,20579.5720416004,23537.87953314885,39039.78843300317
31744067,DAVIS-LACY 31F,206H,38239.0,17140.781224185997,19420.193084320505,36971.75200650236
31743757,GLYNN-ATCHISON 44M,213H,35704.0,19320.026627478128,17841.876108202727,18050.56605721506
31744058,DAVIS-LACY 31H,208H,16956.0,9688.738388789485,9908.705202724432,21946.190808689447
31743171,BOHANAN-BLOCKER 3B,4H,36835.0,22484.905485035182,23257.641480284496,38413.36967903528
31744057,DAVIS-LACY 31I,209H,55854.0,34428.14691303443,37686.963839066186,40344.88743745668
31744059,DAVIS-LACY 31G,207H,28855.0,18399.33106872952,21309.773819125952,26849.98832601743
31744066,EPLEY-MARTIN 31K,111H,38148.0,25164.41902471845,25603.704354628702,43746.24168087819
31744064,EPLEY-MARTIN 31I,109H,41253.0,27859.124814898867,28659.92848452118,44973.46457700727
31744053,EPLEY-MARTIN 31D,104H,36143.0,24849.50969855411,25025.700865382296,31115.715278998345
31744068,DAVIS-LACY 31E,205H,26649.0,19665.84473904663,22638.304632305622,30203.56494991215
31744056,DAVIS-LACY 31J,210H,15907.0,11819.848437007477,12354.858549276503,24094.828831127285
31744061,EPLEY-MARTIN 31C,103H,46336.0,35272.20988288791,35320.56109079088,43915.83389841359
31744782,FORTUNE-ASHLEY 31M,213H,34514.0,26321.924151192023,26431.831067231647,30950.75736913579
31744052,EPLEY-MARTIN 31F,106H,24438.0,19429.059026603696,19769.849489352844,23683.59681155967
31744072,DAVIS-LACY 31A,201H,38234.0,34202.528843704466,37725.20490884462,37366.098298622695
31743566,WELCH-COX E39A,301H,8763.0,8118.531460907924,8275.541813149293,13208.19864250848
31744060,EPLEY-MARTIN 31G,107H,23252.0,24049.24763800956,26706.5441232246,26738.59506906799
31743816,SCHARBAUER-DOVE 7D,4H,47441.0,50639.84052390543,49241.27786185324,49847.56195295079
31743818,SCHARBAUER-DOVE 7F,6H,37665.0,41867.91968099172,41291.84147262334,43390.36269822148
31743759,GLYNN-ATCHISON 44L,212H,20205.0,22541.73731382329,22446.081444230924,22542.93189108197
31744407,DAVIS-LACY 31L,212H,38509.0,45539.70512436666,45889.300731040086,50130.80385653067
31744063,EPLEY-MARTIN 31H,108H,33117.0,39455.13514379387,39303.00898111108,39884.75552235617
31744071,DAVIS-LACY 31B,202H,25850.0,32941.731714953974,33408.43639600744,36828.11133168186
31743549,WELCH-COX E39V,322H,10686.0,14790.89784813526,15270.023573680732,31743.181428796204
31743568,WELCH-COX E39T,320H,26184.0,61738.62330024386,53544.77253595703,53538.34662726517
31744069,DAVIS-LACY 31D,204H,12724.0,37419.38478357008,34686.6471324544,34694.83250750712
31744051,EPLEY-MARTIN 31E,105H,51711.0,237108.0839247115,49901.46927449974,49895.48059866901
