api8,lease_name,well_no,model,qi_bbl_per_month,di_per_month,b_factor
31743568,WELCH-COX E39T,320H,exponential,4850.517521544468,-0.0119353428711826,0.0
31744069,DAVIS-LACY 31D,204H,exponential,3504.9795677806687,-0.0058849714234019,0.0
31744051,EPLEY-MARTIN 31E,105H,exponential,491.23641348550734,-0.1352379790316309,0.0
