model,mae,rmse,smape,mean_bias,median_bias
last_observed_rate,699.3333333333334,1121.1353141314355,0.2549946641284514,91.5111111111111,133.0
random_forest,901.1048859295541,1276.1730539390194,0.3194477974234118,-16.200516254099284,-228.63781298331287
gradient_boosting,961.6006492246048,1440.886661478525,0.3275306594229144,-50.54907210090667,-272.14225212248493
