api8,district,lease_no,well_no,lease_name,operator_name,field_name,first_prod_month,cycle_year_month,month_on_production,oil_bbl,casinghead_gas_mcf,boe,interval_length_proxy_ft,reported_first_month,first_positive_prod_month,reported_month_on_production
31743171,10,56651,4H,BOHANAN-BLOCKER 3B,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202201,202406,30,4438.0,6004.0,5438.666666666667,10036.0,202201,202201,30
31743171,10,56651,4H,BOHANAN-BLOCKER 3B,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202201,202407,31,4479.0,7382.0,5709.333333333333,10036.0,202201,202201,31
31743171,10,56651,4H,BOHANAN-BLOCKER 3B,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202201,202408,32,5093.0,12661.0,7203.166666666666,10036.0,202201,202201,32
31743171,10,56651,4H,BOHANAN-BLOCKER 3B,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202201,202409,33,4590.0,14950.0,7081.666666666666,10036.0,202201,202201,33
31743171,10,56651,4H,BOHANAN-BLOCKER 3B,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202201,202410,34,3967.0,16425.0,6704.5,10036.0,202201,202201,34
31743171,10,56651,4H,BOHANAN-BLOCKER 3B,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202201,202411,35,3612.0,19001.0,6778.833333333334,10036.0,202201,202201,35
31743171,10,56651,4H,BOHANAN-BLOCKER 3B,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202201,202412,36,4132.0,19058.0,7308.333333333334,10036.0,202201,202201,36
31743171,10,56651,4H,BOHANAN-BLOCKER 3B,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202201,202501,37,4110.0,17364.0,7004.0,10036.0,202201,202201,37
31743171,10,56651,4H,BOHANAN-BLOCKER 3B,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202201,202502,38,3556.0,15562.0,6149.666666666666,10036.0,202201,202201,38
31743171,10,56651,4H,BOHANAN-BLOCKER 3B,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202201,202503,39,3381.0,16758.0,6174.0,10036.0,202201,202201,39
31743171,10,56651,4H,BOHANAN-BLOCKER 3B,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202201,202504,40,3249.0,12006.0,5250.0,10036.0,202201,202201,40
31743171,10,56651,4H,BOHANAN-BLOCKER 3B,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202201,202505,41,4571.0,17365.0,7465.166666666666,10036.0,202201,202201,41
31743171,10,56651,4H,BOHANAN-BLOCKER 3B,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202201,202506,42,3747.0,17213.0,6615.833333333334,10036.0,202201,202201,42
31743171,10,56651,4H,BOHANAN-BLOCKER 3B,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202201,202507,43,1763.0,6758.0,2889.333333333333,10036.0,202201,202201,43
31743171,10,56651,4H,BOHANAN-BLOCKER 3B,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202201,202508,44,2283.0,3981.0,2946.5,10036.0,202201,202201,44
31743171,10,56651,4H,BOHANAN-BLOCKER 3B,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202201,202509,45,3194.0,9820.0,4830.666666666667,10036.0,202201,202201,45
31743171,10,56651,4H,BOHANAN-BLOCKER 3B,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202201,202510,46,3370.0,13831.0,5675.166666666666,10036.0,202201,202201,46
31743171,10,56651,4H,BOHANAN-BLOCKER 3B,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202201,202511,47,3311.0,18661.0,6421.166666666666,10036.0,202201,202201,47
31743171,10,56651,4H,BOHANAN-BLOCKER 3B,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202201,202512,48,4521.0,20918.0,8007.333333333334,10036.0,202201,202201,48
31743171,10,56651,4H,BOHANAN-BLOCKER 3B,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202201,202601,49,3723.0,17747.0,6680.833333333334,10036.0,202201,202201,49
31743171,10,56651,4H,BOHANAN-BLOCKER 3B,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202201,202602,50,4424.0,17103.0,7274.5,10036.0,202201,202201,50
31743171,10,56651,4H,BOHANAN-BLOCKER 3B,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202201,202603,51,4260.0,18561.0,7353.5,10036.0,202201,202201,51
31743171,10,56651,4H,BOHANAN-BLOCKER 3B,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202201,202604,52,0.0,0.0,0.0,10036.0,202201,202201,52
31743171,10,56651,4H,BOHANAN-BLOCKER 3B,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202201,202605,53,0.0,0.0,0.0,10036.0,202201,202201,53
31743171,10,56651,4H,BOHANAN-BLOCKER 3B,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202201,202606,54,0.0,0.0,0.0,10036.0,202201,202201,54
31743549,10,60103,322H,WELCH-COX E39V,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202310,202310,1,9788.0,7848.0,11096.0,10330.0,202310,202310,1
31743549,10,60103,322H,WELCH-COX E39V,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202310,202311,2,45998.0,37461.0,52241.5,10330.0,202310,202310,2
31743549,10,60103,322H,WELCH-COX E39V,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202310,202312,3,42079.0,42873.0,49224.5,10330.0,202310,202310,3
31743549,10,60103,322H,WELCH-COX E39V,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202310,202401,4,30010.0,36751.0,36135.166666666664,10330.0,202310,202310,4
31743549,10,60103,322H,WELCH-COX E39V,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202310,202402,5,22876.0,29963.0,27869.833333333332,10330.0,202310,202310,5
31743549,10,60103,322H,WELCH-COX E39V,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202310,202403,6,13153.0,17889.0,16134.5,10330.0,202310,202310,6
31743549,10,60103,322H,WELCH-COX E39V,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202310,202404,7,10295.0,12429.0,12366.5,10330.0,202310,202310,7
31743549,10,60103,322H,WELCH-COX E39V,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202310,202405,8,12968.0,18575.0,16063.833333333334,10330.0,202310,202310,8
31743549,10,60103,322H,WELCH-COX E39V,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),202310,202406,9,8706.0,10868.0,10517.333333333334,10330.0,202310,202310,9
